site_id,grid_id,i,j,central_area,net_pv_capacity
365,E,63,83,184538.6153,16.60847538
366,E,63,84,57881.9335,5.209374015
367,E,63,85,357872.0539,32.20848485
368,E,63,86,225011.8493,20.25106644
369,E,63,87,58076.0765,5.226846885
370,E,63,88,87845.046,7.90605414
371,E,63,89,364.4945,0.032804505
372,E,63,90,100757.0467,9.0681342
373,E,63,91,309555.5999,27.86000399
374,E,63,92,146920.1245,13.2228112
375,E,63,93,224304.5492,20.18740943
376,E,63,94,270121.6157,24.31094541
377,E,63,95,27723.56,2.4951204
378,E,64,57,6465.5625,0.581900625
379,E,64,58,562781.3655,50.65032289
380,E,64,59,618087.5871,55.62788284
381,E,64,60,363666.2758,32.72996482
382,E,64,61,538631.7388,48.47685649
383,E,64,62,37303.76318,3.357338686
384,E,64,65,212198.8494,19.09789645
385,E,64,66,318014.4242,28.62129818
386,E,64,67,469296.8547,42.23671692
387,E,64,68,148334.8731,13.35013858
388,E,64,69,10201.1125,0.918100125
389,E,64,70,23007.609,2.07068481
390,E,64,71,47094.69345,4.23852241
391,E,64,72,286232.0924,25.76088831
392,E,64,73,669.3490436,0.060241414
393,E,64,75,266582.6581,23.99243923
394,E,64,76,558331.35,50.2498215
395,E,64,77,489672.8486,44.07055637
396,E,64,78,724476.8692,65.20291823
397,E,64,79,548458.1328,49.36123195
398,E,64,80,275654.4878,24.8089039
399,E,64,81,283764.0955,25.5387686
400,E,64,82,313914.2994,28.25228695
401,E,64,83,259211.578,23.32904202
402,E,64,84,5832.8,0.524952
403,E,64,85,99519.85875,8.956787287
404,E,64,86,140264.387,12.62379483
405,E,64,87,203542.667,18.31884003
406,E,64,88,326.7205,0.029404845
407,E,64,90,13820.36944,1.243833249
408,E,64,91,136352.5,12.271725
409,E,64,92,47241.412,4.25172708
410,E,64,93,272432.2749,24.51890474
411,E,64,94,323838.1047,29.14542942
412,E,64,95,215681.547,19.41133923
413,E,64,96,189795.402,17.08158618
414,E,65,55,300627.5248,27.05647723
415,E,65,56,103884.8958,9.349640619
416,E,65,58,115479.3746,10.39314371
417,E,65,59,64863.87765,5.837748989
418,E,65,60,149775.6225,13.47980602
419,E,65,63,69700,6.273
420,E,65,64,5552.824,0.49975416
421,E,65,65,500261.729,45.02355561
422,E,65,66,824292.1302,74.18629172
423,E,65,67,236126.5224,21.25138701
424,E,65,68,1398.844,0.12589596
425,E,65,70,399.574,0.03596166
426,E,65,71,460845.4406,41.47608965
427,E,65,72,316835.2446,28.51517202
428,E,65,73,512.0245527,0.04608221
429,E,65,75,1807.972,0.16271748
430,E,65,76,240250.7961,21.62257165
431,E,65,77,166413.5743,14.97722169
432,E,65,78,284479.9311,25.6031938
433,E,65,79,35686.12349,3.211751114
434,E,65,80,263777.5135,23.73997622
435,E,65,81,377653.4264,33.98880838
436,E,65,82,206259.9542,18.56339588
437,E,65,83,81011.649,7.29104841
438,E,65,85,118465.1755,10.66186579
439,E,65,86,41369.2725,3.723234525
440,E,65,87,1811.025,0.16299225
441,E,65,92,23359.8745,2.102388705
442,E,65,93,85311.2825,7.678015425
443,E,65,94,129041.5925,11.61374332
444,E,65,95,168082.201,15.12739809
445,E,65,96,529655.3384,47.66898046
446,E,65,97,32571.27123,2.931414411
447,E,66,55,409147.67,36.8232903
448,E,66,56,335177.6933,30.1659924
449,E,66,64,4687.416514,0.421867486
450,E,66,65,643756.5939,57.93809345
451,E,66,66,337391.6439,30.36524795
452,E,66,67,310281.6518,27.92534866
453,E,66,68,11354.72005,1.021924804
454,E,66,71,220889.5398,19.88005858
455,E,66,72,99951.99413,8.995679471
456,E,66,73,246411.998,22.17707982
457,E,66,75,26817.133,2.41354197
458,E,66,76,209992.7815,18.89935033
459,E,66,77,205791.5725,18.52124153
460,E,66,78,431422.0315,38.82798283
461,E,66,79,350339.0973,31.53051875
462,E,66,80,356818.2871,32.11364584
463,E,66,81,172825.4693,15.55429223
464,E,66,82,121183.3511,10.9065016
465,E,66,83,3200,0.288
466,E,66,85,5400,0.486
467,E,66,94,91299.871,8.21698839
468,E,66,95,212816.651,19.15349859
469,E,66,96,539500.1723,48.5550155
470,E,66,97,109707.9224,9.873713019
471,E,67,54,45430.86695,4.088778025
472,E,67,55,680295.7635,61.22661872
473,E,67,56,140365.5336,12.63289802
474,E,67,61,115327.456,10.37947104
475,E,67,63,187.935,0.01691415
476,E,67,64,13103.38165,1.179304349
477,E,67,65,210440.6779,18.93966101
478,E,67,66,70381.7147,6.334354323
479,E,67,67,713579.8676,64.22218808
480,E,67,68,683972.5761,61.55753185
481,E,67,69,133334.6737,12.00012063
482,E,67,70,60890.7385,5.480166465
483,E,67,71,97685.03,8.7916527
484,E,67,72,526.541,0.04738869
485,E,67,73,190461.583,17.14154247
486,E,67,74,410.169,0.03691521
487,E,67,77,100,0.009
488,E,67,78,216377.0936,19.47393842
489,E,67,79,252550.9348,22.72958414
490,E,67,80,108198.7259,9.737885332
491,E,67,81,133385.3799,12.00468419
492,E,67,82,39851.4018,3.586626162
493,E,67,93,800,0.072
494,E,67,94,89696.29203,8.072666283
495,E,67,95,364550.9464,32.80958518
496,E,67,96,455115.0305,40.96035274
497,E,67,97,221935.9794,19.97423815
498,E,68,54,105087.818,9.457903622
499,E,68,55,572737.9107,51.54641196
500,E,68,56,108044.3233,9.723989098
501,E,68,61,78072.544,7.02652896
502,E,68,62,154328.625,13.88957625
503,E,68,63,645701.531,58.11313779
504,E,68,64,365083.6116,32.85752504
505,E,68,65,147845.7979,13.30612181
506,E,68,66,449784.621,40.48061589
507,E,68,67,375230.0381,33.77070343
508,E,68,68,176247.0729,15.86223656
509,E,68,69,571910.374,51.47193366
510,E,68,70,212255.3336,19.10298002
511,E,68,71,65140.3915,5.862635235
512,E,68,72,2878.2045,0.259038405
513,E,68,73,8700,0.783
514,E,68,78,164643.8618,14.81794756
515,E,68,79,169036.7108,15.21330397
516,E,68,93,64988.24919,5.848942427
517,E,68,94,64558.23439,5.810241096
518,E,68,95,130631.633,11.75684697
519,E,68,96,317640.4141,28.58763726
520,E,68,97,355184.8941,31.96664046
521,E,68,98,400,0.036
522,E,69,61,39843.912,3.58595208
523,E,69,62,266373.4092,23.97360683
524,E,69,63,303703.7443,27.33333699
525,E,69,64,190124.1346,17.11117212
526,E,69,65,22142.71941,1.992844747
527,E,69,67,7465.04175,0.671853757
528,E,69,68,517765.6287,46.59890658
529,E,69,69,204471.2853,18.40241567
530,E,69,70,430677.6544,38.76098889
531,E,69,71,199015.5885,17.91140296
532,E,69,72,26005.9022,2.340531198
533,E,69,73,85738.77827,7.716490044
534,E,69,93,58207.48077,5.238673269
535,E,69,94,200647.7974,18.05830176
536,E,69,95,594184.8688,53.47663819
537,E,69,96,404094.5239,36.36850715
538,E,69,97,114885.3023,10.33967721
539,E,69,98,73420.2715,6.607824435
540,E,70,62,7960.523511,0.716447116
541,E,70,63,44717.19045,4.024547141
542,E,70,65,77490.455,6.97414095
543,E,70,66,503208.9759,45.28880783
544,E,70,67,95404.92818,8.586443536
545,E,70,68,299408.1078,26.94672971
546,E,70,69,209161.97,18.8245773
547,E,70,70,165321.2665,14.87891399
548,E,70,71,60514.4005,5.446296045
549,E,70,72,11281.75083,1.015357575
550,E,70,73,30992.3762,2.789313858
551,E,70,90,462.8865,0.041659785
552,E,70,91,5717.5435,0.514578915
553,E,70,92,59468.35161,5.352151645
554,E,70,93,80197.58753,7.217782878
555,E,70,94,224416.6097,20.19749487
556,E,70,95,642615.3664,57.83538298
557,E,70,96,768847.5064,69.19627558
558,E,70,97,816095.8767,73.44862891
559,E,70,98,557795.0004,50.20155004
560,E,71,62,11400,1.026
561,E,71,66,5775.485942,0.519793735
562,E,71,67,33676.08391,3.030847552
563,E,71,68,131960.4565,11.87644108
564,E,71,69,27592.375,2.48331375
565,E,71,70,1360.4775,0.122442975
566,E,71,71,42208.1885,3.798736965
567,E,71,72,609.8515,0.054886635
568,E,71,90,8414.4995,0.757304955
569,E,71,91,18462.9555,1.661665995
570,E,71,92,96517.1375,8.686542375
571,E,71,93,322261.7562,29.00355805
572,E,71,94,298701.7778,26.88316
573,E,71,95,960732.3138,86.46590824
574,E,71,96,964059.1405,86.76532264
575,E,71,97,666790.599,60.01115391
576,E,71,98,12501.84187,1.125165768
577,E,72,63,1498.769,0.13488921
578,E,72,67,1281.562276,0.115340605
579,E,72,68,67699.52575,6.092957317
580,E,72,69,3031.964736,0.272876826
581,E,72,70,3218.0525,0.289624725
582,E,72,90,13783.711,1.24053399
583,E,72,91,96312.0715,8.668086435
584,E,72,92,157330.598,14.15975382
585,E,72,93,521613.7507,46.94523756
586,E,72,94,333028.7483,29.97258735
587,E,72,95,584467.0063,52.60203056
588,E,72,96,287001.3941,25.83012547
589,E,72,97,12892.29951,1.160306956
590,E,73,62,52900,4.761
591,E,73,63,3101.231,0.27911079
592,E,73,68,6359.465948,0.572351935
593,E,73,69,1120.454521,0.100840907
594,E,73,89,5500,0.495
595,E,73,90,17274.97039,1.554747335
596,E,73,91,357675.0765,32.19075689
597,E,73,92,488032.2389,43.9229015
598,E,73,93,775030.7785,69.75277006
599,E,73,94,452557.403,40.73016627
600,E,73,95,256590.2121,23.09311909
601,E,73,96,101.8643064,0.009167788
602,E,74,63,3200,0.288
603,E,74,89,19394.88,1.7455392
604,E,74,90,302661.9806,27.23957825
605,E,74,91,352889.7441,31.76007697
606,E,74,92,453992.1664,40.85929498
607,E,74,93,133975.4506,12.05779055
608,E,75,87,108.152,0.00973368
609,E,75,88,173135.747,15.58221723
610,E,75,89,202955.369,18.26598321
611,E,75,90,347242.204,31.25179836
612,E,76,61,28576.8825,2.571919425
613,E,76,86,36204.7885,3.258430965
614,E,76,87,64330.123,5.78971107
615,E,76,88,89428.735,8.04858615
616,E,77,61,52923.1175,4.763080575
617,E,77,82,1908.256,0.17174304
618,E,77,85,353454.4296,31.81089866
619,E,77,86,589966.2264,53.09696038
620,E,77,87,25256.39,2.2730751
621,E,78,82,148917.6185,13.40258567
622,E,78,83,586862.6458,52.81763812
623,E,78,84,503705.9429,45.33353486
624,E,78,85,481338.6854,43.32048168
625,E,78,86,21148.08414,1.903327573
626,E,79,83,493359.8732,44.40238859
627,E,79,84,80095.133,7.20856197
628,E,80,73,25181.9195,2.266372755
629,E,80,82,4720.982,0.42488838
630,E,80,83,90988.6845,8.188981605
631,E,81,70,415.254,0.03737286
632,E,81,72,39074.34241,3.516690817
633,E,81,73,172177.2357,15.49595121
634,E,81,74,65885.0165,5.929651485
635,E,81,76,4754.616,0.42791544
636,E,81,77,16478.97015,1.483107313
637,E,81,81,1327.4955,0.119474595
638,E,82,68,4300,0.387
639,E,82,69,159693.5079,14.37241571
640,E,82,70,192379.4314,17.31414882
641,E,82,71,228536.3484,20.56827135
642,E,82,72,19315.61137,1.738405023
643,E,82,73,545864.862,49.12783758
644,E,82,74,467201.9688,42.04817719
645,E,82,75,264133.2795,23.77199515
646,E,82,76,261711.895,23.55407055
647,E,82,77,14349.89435,1.291490492
648,E,82,78,226495.7414,20.38461672
649,E,82,79,42539.64624,3.828568161
650,E,82,80,15547.509,1.39927581
651,E,82,81,32980.4665,2.968241985
652,E,83,67,10748.385,0.96735465
653,E,83,68,78471.9985,7.062479865
654,E,83,69,446543.9027,40.18895124
655,E,83,70,626807.8584,56.41270726
656,E,83,71,314175.5136,28.27579623
657,E,83,72,120675.8605,10.86082744
658,E,83,73,355345.2454,31.98107209
659,E,83,74,90163.91877,8.114752689
660,E,83,76,109782.74,9.8804466
661,E,83,77,53772.831,4.83955479
662,E,83,78,68421.27724,6.157914952
663,E,83,79,544880.6707,49.03926036
664,E,83,80,74178.329,6.67604961
665,E,84,68,102765.418,9.24888762
666,E,84,69,456389.9052,41.07509147
667,E,84,70,85888.47239,7.729962515
668,E,84,77,394466.542,35.50198878
669,E,84,78,209672.841,18.87055569
670,E,85,64,9132.9175,0.821962575
671,E,85,65,36060.396,3.24543564
672,E,85,66,54471.29,4.9024161
673,E,85,68,13603.279,1.22429511
674,E,86,63,70.5585,0.006350265
675,E,86,64,273614.362,24.62529258
676,E,86,65,378815.8663,34.09342797
677,E,86,66,153476.5165,13.81288649
678,E,87,63,27896.0265,2.510642385
679,E,87,64,166293.3899,14.96640509
680,E,87,65,22268.6768,2.004180912
681,E,87,66,3176.035,0.28584315
682,E,87,67,30323.965,2.72915685
683,E,88,63,344.484,0.03100356
684,E,89,54,100,0.009
685,E,89,62,60431.439,5.43882951
686,E,89,63,38124.077,3.43116693
687,E,90,58,500,0.045
688,E,90,60,28280.8915,2.545280235
689,E,91,58,26231.53294,2.360837964
690,E,91,59,106770.9884,9.609388958
691,E,91,60,166436.7735,14.97930961
692,E,91,61,254329.7325,22.88967593
693,E,92,57,264.9005,0.023841045
694,E,92,58,58026.13044,5.222351739
695,E,92,59,33750.6957,3.037562613
696,E,92,60,115039.118,10.35352062
697,E,92,61,129592.051,11.66328459
698,E,93,56,14365.37883,1.292884094
699,E,93,57,52791.47085,4.751232377
700,E,93,60,111557.92,10.0402128
701,E,93,61,362719.2655,32.6447339
702,E,93,62,24800,2.232
703,E,94,56,320909.498,28.88185482
704,E,94,57,709687.2702,63.87185432
705,E,94,58,161060.3038,14.49542735
706,E,94,59,99042.392,8.91381528
707,E,94,60,49247.492,4.43227428
708,E,95,56,493757.783,44.43820047
709,E,95,57,928753.6948,83.58783253
710,E,95,58,511026.3183,45.99236865
711,E,95,59,24766.0471,2.228944239
712,E,96,55,10119.485,0.91075365
713,E,96,56,489205.313,44.02847817
714,E,96,57,789105.0015,71.01945013
715,E,96,58,159421.0779,14.34789701
716,E,96,59,7207.336202,0.648660258
717,E,97,55,303936.1361,27.35425225
718,E,97,56,919466.3639,82.75197276
719,E,97,57,681783.7188,61.3605347
720,E,97,58,44.4615,0.004001535
721,E,98,51,2700,0.243
722,E,98,53,46568.592,4.19117328
723,E,98,55,233452.0166,21.01068149
724,E,98,56,537108.803,48.33979227
725,E,98,57,64373.76263,5.793638637
726,E,99,50,19769.594,1.77926346
727,E,99,51,52630.406,4.73673654
728,E,99,52,6802.04,0.6121836
729,E,99,53,254229.368,22.88064312
730,E,99,55,8900,0.801
731,E,99,56,13568.875,1.22119875
